predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010101
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวนิดา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022
costcode,C100008
DR_amt,542.06
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010101
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวนิดา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022
costcode,C100008
DR_amt,336.45
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010101
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวนิดา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022
costcode,C100008
DR_amt,347.66
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010101
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวนิดา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022
costcode,C100008
DR_amt,134.58
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010101
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวนิดา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022
costcode,C100008
DR_amt,504.67
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,2546
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,336.45
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,22.43
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,93.46
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,336.45
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,23.36
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,166.36
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,336.45
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,11.21
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010102
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณจันจิรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 139 ลว.25.1.22 
costcode,C100008
DR_amt,672.9
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010103
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณปวีณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 1,931 ลว.25.1.22 "
costcode,C100008
DR_amt,4441
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010103
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณปวีณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 1,931 ลว.25.1.22 "
costcode,C100008
DR_amt,307.48
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010103
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณปวีณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 1,931 ลว.25.1.22 "
costcode,C100008
DR_amt,14.95
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010103
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณปวีณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 1,931 ลว.25.1.22 "
costcode,C100008
DR_amt,22.43
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010103
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณปวีณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 1,931 ลว.25.1.22 "
costcode,C100008
DR_amt,186.92
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010103
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณปวีณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 1,931 ลว.25.1.22 "
costcode,C100008
DR_amt,22.43
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010104
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณเกศินี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,196 ลว.25.1.22 "
costcode,C100008
DR_amt,7275
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010104
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณเกศินี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,196 ลว.25.1.22 "
costcode,C100008
DR_amt,373.83
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010104
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณเกศินี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,196 ลว.25.1.22 "
costcode,C100008
DR_amt,373.83
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010104
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณเกศินี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,196 ลว.25.1.22 "
costcode,C100008
DR_amt,328.97
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010104
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณเกศินี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,196 ลว.25.1.22 "
costcode,C100008
DR_amt,23.36
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010105
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณกฤษณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 855 ลว.25.1.22 
costcode,C100008
DR_amt,2068
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010105
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณกฤษณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 855 ลว.25.1.22 
costcode,C100008
DR_amt,990.65
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010105
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณกฤษณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 855 ลว.25.1.22 
costcode,C100008
DR_amt,93.46
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010105
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณกฤษณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 855 ลว.25.1.22 
costcode,C100008
DR_amt,93.46
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010105
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณกฤษณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 855 ลว.25.1.22 
costcode,C100008
DR_amt,121.5
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010105
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณกฤษณา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 855 ลว.25.1.22 
costcode,C100008
DR_amt,93.46
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010106
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวริศรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 982 ลว.25.1.22 
costcode,C100008
DR_amt,25
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010106
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวริศรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 982 ลว.25.1.22 
costcode,C100008
DR_amt,771.03
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010106
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวริศรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 982 ลว.25.1.22 
costcode,C100008
DR_amt,33.64
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010106
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวริศรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 982 ลว.25.1.22 
costcode,C100008
DR_amt,280.38
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010106
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวริศรา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 982 ลว.25.1.22 
costcode,C100008
DR_amt,129.91
CR_amt,0
predpt_name,Cockpit FC- Booth Production
vchno,APV2022010006
vchdate,44582
remark,ค่า SPK ลำโพงล้อลาก พร้อมชุดไมค์ งาน Cockpit ส่งสินค้าวันที่ 19/1/2022
costcode,C100008
DR_amt,4102.8
CR_amt,0
predpt_name,BDF Christmas & New year virtual party_Additional
vchno,APS2022010042
vchdate,44584
remark,ค่าบริการเครื่องหมุนรางวัล ส่งมอบงานวันที่ 22 Dec #JV2021120033
costcode,C100008
DR_amt,3200
CR_amt,0
predpt_name,BDF Christmas & New year virtual party
vchno,APS2022010043
vchdate,44584
